building_type,structure_type,assembly,material,qty,unit
commercial,BP_Steel,Column foundation,"Normalweight concrete, 4000 psi",668697,kg
commercial,BP_Steel,Column foundation,"Steel, reinforcing rod",74893,kg
commercial,BP_Steel,Wall foundation,"Normalweight concrete, 4000 psi",1905120,kg
commercial,BP_Steel,Wall foundation,"Steel, reinforcing rod",213370,kg
commercial,BP_Steel,Slab on grade,"Normalweight concrete, 4000 psi",535815,kg
commercial,BP_Steel,Slab on grade,"Steel, welded wire mesh",3601,kg
commercial,BP_Steel,Elevated slabs,"Lightweight concrete, 5000 psi",2551980,kg
commercial,BP_Steel,Elevated slabs,"Steel decking, galvanized",132267,kg
commercial,BP_Steel,Elevated slabs,"Steel, welded wire mesh",17149,kg
commercial,BP_Steel,Structural framing: beams,"Steel, hot rolled structural steel",145303,kg
commercial,BP_Steel,Structural framing: girders,"Steel, hot rolled structural steel",65264,kg
commercial,BP_Steel,Structural columns,"Steel, hot rolled structural steel",116629,kg
commercial,BP_Steel,Structural walls,"Normalweight concrete, 6000 psi",1092652,kg
commercial,BP_Steel,Structural walls,"Steel, reinforcing rod",142771,kg
commercial,LS_Steel,Column foundation,"Normalweight concrete, 4000 psi",1219277,kg
commercial,LS_Steel,Column foundation,"Steel, reinforcing rod",136557,kg
commercial,LS_Steel,Wall foundation,"Normalweight concrete, 4000 psi",1905120,kg
commercial,LS_Steel,Wall foundation,"Steel, reinforcing rod",213370,kg
commercial,LS_Steel,Slab on grade,"Normalweight concrete, 4000 psi",535815,kg
commercial,LS_Steel,Slab on grade,"Steel, welded wire mesh",3601,kg
commercial,LS_Steel,Elevated slabs,"Lightweight concrete, 5000 psi",2551980,kg
commercial,LS_Steel,Elevated slabs,"Steel decking, galvanized",132267,kg
commercial,LS_Steel,Elevated slabs,"Steel, welded wire mesh",17149,kg
commercial,LS_Steel,Structural framing: beams,"Steel, hot rolled structural steel",208771,kg
commercial,LS_Steel,Structural framing: girders,"Steel, hot rolled structural steel",152764,kg
commercial,LS_Steel,Structural columns,"Steel, hot rolled structural steel",97990,kg
commercial,LS_Steel,Structural walls,"Normalweight concrete, 6000 psi",1092652,kg
commercial,LS_Steel,Structural walls,"Steel, reinforcing rod",142771,kg
commercial,SS_Steel,Column foundation,"Normalweight concrete, 4000 psi",342922,kg
commercial,SS_Steel,Column foundation,"Steel, reinforcing rod",38407,kg
commercial,SS_Steel,Wall foundation,"Normalweight concrete, 4000 psi",2357586,kg
commercial,SS_Steel,Wall foundation,"Steel, reinforcing rod",264045,kg
commercial,SS_Steel,Slab on grade,"Normalweight concrete, 4000 psi",535815,kg
commercial,SS_Steel,Slab on grade,"Steel, welded wire mesh",3601,kg
commercial,SS_Steel,Elevated slabs,"Lightweight concrete, 5000 psi",2551980,kg
commercial,SS_Steel,Elevated slabs,"Steel decking, galvanized",132267,kg
commercial,SS_Steel,Elevated slabs,"Steel, welded wire mesh",17149,kg
commercial,SS_Steel,Structural framing: beams,"Steel, hot rolled structural steel",44512,kg
commercial,SS_Steel,Structural framing: girders,"Steel, hot rolled structural steel",41074,kg
commercial,SS_Steel,Structural columns,"Steel, hot rolled structural steel",121621,kg
commercial,SS_Steel,Structural walls,"Normalweight concrete, 6000 psi",1092652,kg
commercial,SS_Steel,Structural walls,"Steel, reinforcing rod",142771,kg
commercial,BP_Concrete,Column foundation,"Normalweight concrete, 4000 psi",1044839,kg
commercial,BP_Concrete,Column foundation,"Steel, reinforcing rod",117020,kg
commercial,BP_Concrete,Wall foundation,"Normalweight concrete, 4000 psi",1905120,kg
commercial,BP_Concrete,Wall foundation,"Steel, reinforcing rod",213370,kg
commercial,BP_Concrete,Slab on grade,"Normalweight concrete, 4000 psi",535815,kg
commercial,BP_Concrete,Slab on grade,"Steel, welded wire mesh",3601,kg
commercial,BP_Concrete,Elevated slabs,"Normalweight concrete, 5000 psi",6429780,kg
commercial,BP_Concrete,Elevated slabs,"Steel, reinforcing rod",43207,kg
commercial,BP_Concrete,Structural columns,"Normalweight concrete, 5000 psi",534398,kg
commercial,BP_Concrete,Structural columns,"Steel, reinforcing rod",39901,kg
commercial,BP_Concrete,Structural walls,"Normalweight concrete, 6000 psi",1092652,kg
