project_index,omniclass_element,mat_group,mat_type,mat_type_podlca,life_cycle_stage,mui_gfa,mui_cfa,bldg_proj_type,bldg_park_type,bldg_cfa,bldg_gfa,bldg_park_gfa,bldg_prim_use,bldg_prim_use_category,bldg_res_units,bldg_stories_above,bldg_stories_below,bldg_height,str_prim_horiz_sys,str_prim_vert_sys,str_lat_sys,str_podium,str_fdn_type,str_sys_summary,gwp_a_to_c,total_eci_gfa_a1_to_a3,total_mui_gfa_a1_to_a3,site_country,site_region,site_state_province,site_clim_zone,bldg_code_year,bldg_energy_code_year,bldg_compl_year,bldg_ibc_type,bldg_sec_use,bldg_occupants,bldg_therm_env_area,bldg_wwr,bldg_rval_walls,bldg_rval_roofs,str_seis_site_cls,str_sdc,str_wind_speed,str_sec_horiz_sys,str_sec_vert_sys,str_grid_long,str_grid_short,lca_assessment_year,lca_design_phase,lca_rsp,lca_software,lca_purp_of_assessment,lca_phys_scope,lca_ec_reductions,lca_ec_reduction_percent,mass_total,stored_carbon_total,ep_a_to_c,ap_a_to_c,sfp_a_to_c,odp_a_to_c,nred_a_to_c,mui_total_gfa,eci_a_to_c_gfa,epi_a_to_c_gfa,api_a_to_c_gfa,sfpi_a_to_c_gfa,odpi_a_to_c_gfa,nredi_a_to_c_gfa,mui_total_cfa,eci_a_to_c_cfa,epi_a_to_c_cfa,api_a_to_c_cfa,sfpi_a_to_c_cfa,odpi_a_to_c_cfa,nredi_a_to_c_cfa,ec_per_occupant_a_to_c,ec_per_res_unit_a_to_c,total_eci_gfa_a1_to_a3_category,mui_gfa_low,mui_gfa_mid,mui_gfa_high
1,Shell - Superstructure,Concrete,Concrete - other,Concrete - other,A1-A3,5.266004,2.714435,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,0.289562,0.678307,2.75077
1,Shell - Superstructure,Steel,Hollow structural sections HSS,"HSS, fabricated",A1-A3,0.927275,0.477977,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,0.369449,0.727968,2.673699
1,Shell - Superstructure,Steel,Hot-rolled sections,"Hot-rolled sections, fabricated",A1-A3,0.01225,0.006315,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,0.158646,0.613882,1.848269
1,Shell - Superstructure,Concrete,Ready mix LW 3000,"Ready-mixed concrete, USA, National, LW 3000 psi",A1-A3,1.318691,0.679738,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,0.189257,0.838594,4.052101
1,Shell - Superstructure,Concrete,Ready mix NW 4000,"Ready-mixed concrete, USA, National, 4000 psi",A1-A3,272.5394,140.4842,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,2.265424,36.18834,198.0364
1,Shell - Superstructure,Concrete,Ready mix NW 5000,"Ready-mixed concrete, USA, National, 5000 psi",A1-A3,1789.889,922.6234,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,32.68869,162.5854,478.2868
1,Shell - Superstructure,Concrete,Ready mix NW 6000,"Ready-mixed concrete, USA, National, 6000 psi",A1-A3,26.19138,13.50071,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,57.12652,294.2387,654.4872
1,Shell - Superstructure,Concrete,Ready mix NW 8000,"Ready-mixed concrete, USA, National, 8000 psi",A1-A3,303.7957,156.5957,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,32.42703,193.7528,290.7231
1,Shell - Superstructure,Steel,Rebar and reinforcement,"Rebar, fabricated",A1-A3,74.53657,38.42091,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,7.082542,22.97583,43.43751
1,Shell - Superstructure,Wood and composites,Softwood plywood,Softwood plywood,A1-A3,0.045445,0.023425,New Construction,Below Grade,48500,25000,23500,Residential: Multifamily (5 or more units),Residential,373,21 or more,4 or more,Over 90 m,Concrete: Non-PT framing,Concrete: CIP,Concrete: Shear walls,Not a podium building,Shallow foundation,Concrete,28142947,901.7179,3061.544,Canada,Canada,British Columbia,Can. 4 (<3000 HDD),,,,Type I-B,Other,2673,13354.81,0.46,,,C,D,44.704,,,7.1628,6.1722,2023,Construction,60,Tally LCA,Voluntary: Internal Benchmarking,BSECF,No,,78858207,242201.1,6060.942,103677,1695905,0.238778,2.86E+08,3154.328,1125.718,0.242438,4.147078,67.83619,9.55E-06,11444.15,1625.942,580.267,0.124968,2.137669,34.96711,4.92E-06,5899.044,10528.6,75450.26,High,0.243825,5.768738,8.502588
