building_type,assembly,material,qty,unit,POD|LCA RSL Category
commercial,Curtain wall: steel spandrel,Double glazing,75920,kg,encl_curtainwall
commercial,Curtain wall: steel spandrel,IGU spacer,415,kg,encl_curtainwall
commercial,Curtain wall: steel spandrel,Low-e coating,349,kg,encl_curtainwall
commercial,Curtain wall: steel spandrel,Steel Curtain Wall System,31445,kg,encl_curtainwall
commercial,Curtain wall: steel spandrel,"Fluoropolymer coating, metal stock",479,kg,encl_curtainwall
commercial,Curtain wall: steel spandrel,"5"" mineral wool insulation",10981,kg,encl_curtainwall
commercial,Curtain wall: steel spandrel,"6"" Galvanized Steel Stud Framing",14975,kg,encl_curtainwall
commercial,Curtain wall: steel spandrel,Gypsum Wall Board,30644,kg,encl_curtainwall
commercial,Curtain wall: steel spandrel,Acrylic latex paint,509,kg,encl_curtainwall
commercial,Curtain wall: aluminum spandrel,Aluminum Curtain Wall System,10917,kg,encl_curtainwall
commercial,Curtain wall: aluminum spandrel,"5"" mineral wool insulation",10806,kg,encl_curtainwall
commercial,Curtain wall: aluminum spandrel,"6"" Galvanized Steel Stud Framing",14975,kg,encl_curtainwall
commercial,Curtain wall: aluminum spandrel,Gypsum Wall Board,30644,kg,encl_curtainwall
commercial,Curtain wall: aluminum spandrel,Acrylic latex paint,509,kg,encl_curtainwall
commercial,MV - Brick,Brick,360492,kg,encl_rs_mvbrick
commercial,MV - Brick,Type N Mortar,57846,kg,encl_rs_mvbrick
commercial,MV - Brick,Galvanized steel shelf angle with knife plate,12117,kg,encl_rs_mvbrick
commercial,MV - Brick,"4"" mineral wool insulation",9412,kg,encl_rs_mvbrick
commercial,MV - Brick,AVB membrane,6719,kg,encl_rs_mvbrick
commercial,MV - Brick,Sheathing,30261,kg,encl_rs_mvbrick
commercial,MV - Brick,"6"" galvanized steel stud framing",14975,kg,int_steelstuds
commercial,MV - Brick,Gypsum wall board,30644,kg,fin_gwb
commercial,MV - Brick,Acrylic latex paint,509,kg,fin_paint
